164,3
97,1
639,17
1428,5
391,1
1508,12
106,8
1627,12
1127,1
66,1
935,2
382,13
218,3
671,3
1400,4
784,13
1070,15
1411,3
460,17
1292,15
101,16
463,4
931,6
1446,13
1038,2
914,4
364,5
428,16
221,2
48,10
517,12
761,3
787,14
194,16
1409,8
932,6
845,1
1446,2
762,11
265,2
851,2
1077,17
491,9
777,5
1693,16
1653,11
452,15
562,6
277,13
185,4
585,11
914,4
1096,6
105,7
939,4
752,16
876,7
1507,3
157,5
1344,5
1253,15
1280,13
1002,5
267,11
632,12
551,7
1625,17
458,9
1129,7
54,3
213,17
488,3
772,3
301,4
1148,8
484,15
1447,14
389,6
889,10
1029,5
819,13
497,3
509,4
960,2
430,15
78,13
389,17
1324,17
465,13
90,3
1416,3
462,14
1071,2
425,2
1360,1
343,14
1572,9
1241,8
184,6
1589,4
